ID,Group,Original producing area,Ecotype
W1844,7,China,Or-III
W1849,5,Thailand,Or-II
W1850,5,Thailand,Or-II
W1852,3,Thailand,Or-I
W1853,3,Thailand,Or-I
W1854,5,Thailand,Or-II
W1857,5,Thailand,Or-II
W1858,5,Thailand,Or-II
W1859,5,Thailand,Or-II
W1862,3,Thailand,Or-II
W1865,3,Thailand,Or-I
W1866,3,Thailand,Or-I
W1870,3,Thailand,Or-II
W1873,3,Thailand,Or-II
W1879,3,Thailand,Or-I
W1880,3,Thailand,Or-II
W1881,5,Thailand,Or-I
W1882,5,Thailand,Or-II
W1884,5,Thailand,Or-II
W1890,5,Thailand,Or-II
W1891,5,Thailand,Or-II
W1893,3,Thailand,Or-I
W1895,3,Thailand,Or-II
W1896,3,Thailand,Or-II
W1912,3,Thailand,Or-I
W1914,3,Thailand,Or-I
W1916,3,Thailand,Or-II
W1919,3,Thailand,Or-II
W1921,3,Thailand,Or-I
W1925,3,Thailand,Or-I
W1927,3,Thailand,Or-II
W1928,6,Thailand,Or-I
W1935,6,Thailand,Or-I
W1939,5,Thailand,Or-II
W1940,5,Thailand,Or-II
W1943,1,China,Or-III
W1945,1,China,Or-III
W1952,1,China,Or-III
W1957,1,China,Or-III
W1958,7,China,Or-III
W1959,7,China,Or-I
W1963,7,China,Or-III
W1970,7,Indonesia,Or-I
W1971,5,Indonesia,Or-II
W1972,5,Indonesia,Or-II
W1973,5,Indonesia,Or-III
W1974,5,Indonesia,Or-II
W1975,5,Indonesia,Or-II
W1976,5,Indonesia,Or-II
W1977,5,Indonesia,Or-II
W1978,5,Indonesia,Or-II
W1979,5,Indonesia,Or-II
W1981,5,Indonesia,Or-II
W1983,2,India,Or-I
W1989,2,India,Or-III
W1990,2,India,Or-III
W1991,2,India,Or-III
W1993,2,India,Or-III
W1995,2,India,Or-III
W1998,2,India,Or-III
W2003,2,India,Or-III
W2005,2,India,Or-III
W2007,2,India,Or-III
W2008,2,India,Or-III
W2010,2,India,Or-III
W2012,2,India,Or-III
W2014,2,India,Or-III
W2017,5,Indonesia,Or-II
W2021,5,Indonesia,Or-II
W2022,5,Indonesia,Or-II
W2024,5,Indonesia,Or-II
W2025,5,Indonesia,Or-II
W2030,5,Indonesia,Or-II
W2036,7,Burma,Or-III
W2050,6,Bangladesh,Or-II
W2051,5,Bangladesh,Or-II
W2052,5,Bangladesh,Or-II
W2053,3,Bangladesh,Or-I
W2055,3,Bangladesh,Or-II
W2056,5,Bangladesh,Or-II
W2057,5,Bangladesh,Or-III
W2060,6,Bangladesh,Or-I
W2061,6,Bangladesh,Or-I
W2063,4,Bangladesh,Or-I
W2064,4,Bangladesh,Or-I
W2066,7,Nepal,Or-III
W2078,7,Australia,Or-III
W2099,5,Australia,Or-III
W2108,5,Australia,Or-III
W2193,3,India,Or-I
W2197,3,Indonesia,Or-II
W2198,7,China,Or-III
W2263,7,Cambodia,Or-I
W2264,3,Vietnam,Or-II
W2265,3,Laos,Or-I
W2266,5,Laos,Or-II
W2267,5,Laos,Or-III
W2268,3,Thailand,Or-I
W2269,3,Thailand,Or-I
W2271,3,Thailand,Or-I
W2272,3,Thailand,Or-II
W2275,3,Thailand,Or-I
W2276,3,Thailand,Or-II
W2277,3,Thailand,Or-I
W2278,3,Thailand,Or-I
W2282,5,Thailand,Or-II
W2283,5,Thailand,Or-II
W2284,5,Thailand,Or-II
W2288,5,Cambodia,Or-II
W2296,3,Cambodia,Or-I
W2298,3,Laos,Or-I
W2299,3,Laos,Or-I
W2301,3,Laos,Or-I
W2302,3,Laos,Or-I
W2303,3,Laos,Or-I
W2304,3,Laos,Or-I
W2305,3,Laos,Or-I
W2306,3,Laos,Or-I
W2307,3,Laos,Or-I
W2308,5,Laos,Or-II
W2310,5,Laos,Or-II
W2311,6,Laos,Or-II
W2316,6,Vietnam,Or-I
W2318,3,Vietnam,Or-II
W2319,3,Vietnam,Or-I
W2320,5,Vietnam,Or-II
W2321,5,Vietnam,Or-II
W2322,5,Vietnam,Or-II
W2327,5,Vietnam,Or-II
W2331,6,Vietnam,Or-I
W2332,6,Vietnam,Or-I
W3000,1,China,Or-III
W3001,1,China,Or-III
W3002,7,China,Or-III
W3003,7,China,Or-II
W3004,1,China,Or-III
W3005,1,China,Or-III
W3006,1,China,Or-III
W3007,1,China,Or-III
W3008,1,China,Or-III
W3009,1,China,Or-III
W3010,1,China,Or-III
W3011,1,China,Or-III
W3012,1,China,Or-III
W3013,1,China,Or-III
W3014,1,China,Or-III
W3015,1,China,Or-III
W3016,1,China,Or-III
W3017,1,China,Or-III
W3018,7,China,Or-III
W3019,1,China,Or-III
W3020,1,China,Or-III
W3021,1,China,Or-III
W3022,1,China,Or-III
W3023,1,China,Or-III
W3024,1,China,Or-III
W3025,1,China,Or-III
W3026,1,China,Or-III
W3027,1,China,Or-III
W3028,1,China,Or-III
W3029,1,China,Or-III
W3030,1,China,Or-III
W3031,1,China,Or-III
W3032,1,China,Or-III
W3033,1,China,Or-III
W3034,1,China,Or-III
W3035,1,China,Or-III
W3036,1,China,Or-III
W3037,1,China,Or-III
W3038,1,China,Or-III
W3039,1,China,Or-III
W3040,1,China,Or-III
W3041,1,China,Or-III
W3042,1,China,Or-III
W3043,1,China,Or-III
W3044,1,China,Or-III
W3045,1,China,Or-III
W3046,1,China,Or-III
W3047,1,China,Or-III
W3048,1,China,Or-III
W3049,1,China,Or-III
W3050,1,China,Or-III
W3051,1,China,Or-III
W3052,7,China,Or-III
W3053,7,China,Or-III
W3054,5,China,Or-III
W3055,5,China,Or-III
W3056,7,China,Or-III
W3057,7,China,Or-III
W3058,7,China,Or-III
W3059,7,China,Or-III
W3060,7,China,Or-III
W3061,7,China,Or-III
W3062,7,China,Or-III
W3063,7,China,Or-III
W3064,5,China,Or-III
W3065,5,China,Or-III
W3066,7,China,Or-III
W3067,7,China,Or-II
W3068,7,China,Or-II
W3069,7,China,Or-III
W3070,7,China,Or-III
W3071,7,China,Or-III
W3072,7,China,Or-II
W3073,7,China,Or-III
W3074,1,China,Or-III
W3075,1,China,Or-III
W3076,1,China,Or-III
W3077,1,China,Or-III
W3078,1,China,Or-III
W3079,1,China,Or-III
